調價日期,無鉛汽油92,無鉛汽油95,無鉛汽油98,超級/高級柴油,二行程無鉛,煤油,甲種漁船油(KL),乙種漁船油(KL),低硫燃料油(0.5%)(KL),甲種低硫燃料油/低硫鍋爐油(0.5%)(KL),特種低硫燃料油(KL),低硫鍋爐油(1%)(KL)
2024/3/6,,,,,,,,,21096.0,,25096.0,
2024/3/4,29.5,31.0,33.0,27.1,,,19893.0,15978.0,,,,
2024/2/26,29.4,30.9,32.9,26.9,,,19693.0,15778.0,,,,
2024/2/19,29.4,30.9,32.9,26.9,,,19693.0,15778.0,,,,
2024/2/12,29.0,30.5,32.5,27.0,,,19793.0,15878.0,,,,
2024/2/6,,,,,,,,,22259.0,,25563.0,
2024/2/5,29.0,30.5,32.5,27.4,,,20193.0,16278.0,,,,
2024/1/29,29.0,30.5,32.5,27.5,,,20293.0,16378.0,,,,
2024/1/22,28.9,30.4,32.4,27.7,,,20493.0,16578.0,,,,
2024/1/15,29.0,30.5,32.5,27.8,,,20593.0,16678.0,,,,
2024/1/8,29.2,30.7,32.7,27.8,,,20593.0,16678.0,,,,
2024/1/6,,,,,,,,,22618.0,,26618.0,
2024/1/3,,,,,,42.2,,,,,,
2024/1/1,29.5,31.0,33.0,27.9,,,20693.0,16778.0,,,,
2023/12/26,,,,,,42.7,,,,,,
2023/12/25,29.6,31.1,33.1,28.0,,,20793.0,16878.0,,,,
2023/12/19,,,,,,42.3,,,,,,
2023/12/18,29.2,30.7,32.7,27.9,,,20693.0,16778.0,,,,
2023/12/12,,,,,,43.0,,,,,,
2023/12/11,29.5,31.0,33.0,27.6,,,20393.0,16478.0,,,,
2023/12/6,,,,,,,,,21862.0,,25862.0,
2023/12/5,,,,,,43.7,,,,,,
2023/12/4,29.5,31.0,33.0,27.0,,,19793.0,15878.0,,,,
2023/11/27,29.5,31.0,33.0,27.1,,,19893.0,15978.0,,,,
2023/11/21,,,,,,44.0,,,,,,
2023/11/20,29.5,31.0,33.0,27.1,,,19893.0,15978.0,,,,
2023/11/14,,,,,,44.4,,,,,,
2023/11/13,29.6,31.1,33.1,27.1,,,19893.0,15978.0,,,,
