2024年4月,,,,,,
編號,地震時間,經度,緯度,規模,深度,位置
213,2024/4/21 17:54,121.742,24.013,4.3,26.1,花蓮縣政府東方  12.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/21 17:14,121.869,24.1777,3.8,23.2,花蓮縣政府東北方  32.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/21 15:51,121.752,24.2583,3.1,7.3,花蓮縣政府北北東方  32.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/21 12:13,121.625,23.9407,3.8,29.6,花蓮縣政府南方  5.6  公里 (位於花蓮縣近海)(花蓮縣近海)
212,2024/4/21 11:07,121.679,24.1942,4.6,24.8,花蓮縣政府北北東方  23.3  公里 (位於花蓮縣近海)(花蓮縣近海)
211,2024/4/21 10:40,121.675,23.4888,5.6,30,花蓮縣政府南方  55.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/21 06:04,121.742,24.3388,3.3,26.6,宜蘭縣政府南方  43.5  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2024/4/20 20:01,121.757,24.243,3.4,14.2,花蓮縣政府北北東方  31.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/20 14:03,121.516,23.7548,3.2,6.4,花蓮縣政府南南西方  28.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/20 09:04,121.687,24.2322,4.2,29.3,花蓮縣政府北北東方  27.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/20 08:35,121.869,24.2082,4.5,5.7,花蓮縣政府東北方  34.9  公里 (位於臺灣東部海域)(臺灣東部海域)
210,2024/4/19 22:25,121.769,24.3383,4.6,20.4,宜蘭縣政府南方  43.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2024/4/19 17:51,121.759,24.0647,3.8,31.2,花蓮縣政府東北東方  16.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/19 12:36,121.711,24.2368,3.3,12.4,花蓮縣政府北北東方  28.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/19 10:43,121.655,23.9698,4,37.5,花蓮縣政府東南東方  4.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/19 10:21,121.719,24.231,3.2,15.5,花蓮縣政府北北東方  28.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/19 06:18,121.667,24.1802,3.7,31.9,花蓮縣政府北北東方  21.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/18 17:11,121.752,23.759,4.6,8.2,花蓮縣政府南南東方  29.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/18 16:18,121.67,24.1673,3.9,30.4,花蓮縣政府北北東方  20.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/18 14:09,121.669,24.0842,3.7,29.4,花蓮縣政府北北東方  11.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/18 05:36,120.202,23.356,3.7,10,嘉義縣政府西南方  14.7  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
209,2024/4/17 17:17,121.692,23.9135,5.2,19.2,花蓮縣政府東南方  11.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/17 10:12,121.591,23.9593,3.3,23,花蓮縣政府西南方  4.6  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2024/4/17 03:01,120.198,23.3472,4.1,9.7,嘉義縣政府西南方  15.8  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
208,2024/4/17 02:59,121.763,24.1145,5,18.4,花蓮縣政府東北方  19.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/16 23:57,120.208,23.3497,3.7,9.2,嘉義縣政府西南方  14.9  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
小區域有感地震,2024/4/16 22:16,121.081,21.9495,3.6,11.3,臺東縣政府南方  89.5  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2024/4/16 21:36,120.207,23.3515,3.5,9.1,嘉義縣政府西南方  14.8  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
小區域有感地震,2024/4/16 19:30,121.536,23.7075,3.2,2.8,花蓮縣政府南南西方  32.6  公里 (位於花蓮縣豐濱鄉)(花蓮縣豐濱鄉)
小區域有感地震,2024/4/16 12:07,120.166,23.35,3.5,9.5,嘉義縣政府西南方  17.7  公里 (位於嘉義縣布袋鎮)(嘉義縣布袋鎮)
小區域有感地震,2024/4/16 09:13,121.732,23.9748,3.8,25.5,花蓮縣政府東方  11.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/16 08:52,121.751,24.2505,3.1,13.1,花蓮縣政府北北東方  31.7  公里 (位於花蓮縣近海)(花蓮縣近海)
