時間,地點1,小客車交通量,小貨車交通量,大客車交通量,大貨車交通量,聯結車交通量,小客車車速,小貨車車速,大客車車速,大貨車車速,聯結車車速
1,0005,20.0,5.0,0.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0
1,0017,0.0,2.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0
1,0017,28.0,5.0,0.0,0.0,0.0,93.0,93.0,0.0,0.0,0.0
1,0029,31.0,3.0,0.0,0.0,0.0,93.0,97.0,0.0,0.0,0.0
1,0029,33.0,6.0,1.0,1.0,0.0,93.0,90.0,86.0,86.0,0.0
1,0061,38.0,3.0,0.0,1.0,0.0,97.0,104.0,0.0,90.0,0.0
1,0061,52.0,16.0,0.0,3.0,0.0,97.0,90.0,0.0,90.0,0.0
1,0099,47.0,6.0,0.0,1.0,2.0,97.0,97.0,0.0,68.0,59.0
1,0099,17.0,6.0,0.0,1.0,1.0,93.0,91.0,0.0,86.0,79.0
1,0099,15.0,5.0,0.0,0.0,0.0,111.0,108.0,0.0,0.0,0.0
1,0099,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
1,0099,15.0,2.0,0.0,0.0,0.0,64.0,66.0,0.0,0.0,0.0
1,0147,24.0,3.0,2.0,1.0,1.0,97.0,100.0,91.0,86.0,90.0
1,0147,1.0,1.0,0.0,0.0,0.0,21.0,90.0,0.0,0.0,0.0
1,0147,9.0,1.0,0.0,0.0,0.0,93.0,104.0,0.0,0.0,0.0
1,0147,32.0,14.0,1.0,2.0,3.0,100.0,93.0,118.0,91.0,82.0
1,0153,55.0,10.0,4.0,0.0,0.0,97.0,97.0,95.0,0.0,0.0
1,0153,40.0,6.0,0.0,2.0,1.0,99.0,88.0,0.0,86.0,82.0
1,0182,43.0,11.0,0.0,3.0,1.0,97.0,97.0,0.0,86.0,79.0
1,0213,42.0,10.0,1.0,0.0,2.0,97.0,100.0,93.0,0.0,81.0
1,0233,43.0,5.0,1.0,6.0,4.0,97.0,104.0,82.0,84.0,81.0
1,0248,89.0,12.0,0.0,1.0,3.0,97.0,104.0,0.0,90.0,97.0
1,0256,76.0,9.0,1.0,3.0,3.0,99.0,90.0,82.0,93.0,82.0
1,0264,94.0,11.0,1.0,1.0,3.0,97.0,100.0,93.0,93.0,93.0
1,0293,75.0,10.0,0.0,3.0,4.0,100.0,91.0,0.0,86.0,79.0
1,0293,82.0,9.0,5.0,2.0,0.0,100.0,100.0,90.0,82.0,0.0
1,0339,123.0,20.0,4.0,2.0,2.0,97.0,95.0,86.0,79.0,75.0
1,0339,58.0,10.0,0.0,0.0,0.0,97.0,99.0,0.0,0.0,0.0
1,0340,78.0,5.0,5.0,4.0,3.0,102.0,100.0,97.0,90.0,90.0
1,0340,21.0,2.0,0.0,0.0,0.0,100.0,102.0,0.0,0.0,0.0
1,0376,105.0,12.0,7.0,7.0,2.0,97.0,93.0,90.0,90.0,88.0
1,0376,94.0,13.0,8.0,1.0,1.0,97.0,97.0,82.0,90.0,57.0
1,0413,75.0,9.0,2.0,4.0,1.0,100.0,100.0,86.0,93.0,90.0
1,0413,73.0,17.0,6.0,0.0,0.0,100.0,100.0,91.0,0.0,0.0
