地震時間,經度,緯度,規模
2024/4/9 17:50,121.654,24.0352,4.1
2024/4/9 16:01,121.848,24.3082,3.3
2024/4/9 16:00,121.624,24.0308,3.7
2024/4/9 15:58,121.675,24.079,3.6
2024/4/9 15:49,121.666,24.1088,3.5
2024/4/9 15:40,121.539,23.8352,4.2
2024/4/9 14:47,121.816,24.1543,3.8
2024/4/9 14:10,121.508,23.778,3.2
2024/4/9 14:03,121.629,24.0547,3.4
2024/4/9 13:45,122.387,24.6762,3.8
2024/4/9 13:41,121.986,24.3,3.4
2024/4/9 13:21,121.74,24.2365,3.5
2024/4/9 12:47,121.533,23.8547,3.5
2024/4/9 12:40,121.578,24.149,3.2
2024/4/9 11:51,121.84,24.2368,3.7
2024/4/9 10:17,121.631,24.0147,4.1
2024/4/9 10:17,121.764,24.2227,3.9
2024/4/9 10:15,121.754,24.2478,3.2
2024/4/9 10:13,121.533,23.8542,3.4
2024/4/9 10:08,121.7,24.2588,3.5
2024/4/9 09:33,121.549,23.7742,4.3
2024/4/9 07:26,121.679,24.1697,4.5
2024/4/9 06:35,121.669,24.1017,4.1
2024/4/9 06:14,121.705,23.9917,4.9
2024/4/9 05:59,121.846,24.1325,3.7
2024/4/9 04:54,121.9,24.255,3.7
2024/4/9 03:42,121.688,24.1158,3.6
2024/4/9 03:12,121.821,24.2743,3.1
2024/4/9 02:19,121.626,23.8338,3.4
2024/4/9 02:02,121.682,23.9438,5.3
2024/4/9 02:01,121.72,24.2633,3.2
2024/4/9 01:38,121.985,24.325,3.4
2024/4/8 22:14,121.606,23.9568,3.7
2024/4/8 21:46,121.89,24.4908,3.3
2024/4/8 21:28,121.808,24.264,3.2
2024/4/8 21:03,121.656,24.189,3.6
2024/4/8 20:23,121.566,24.0157,3.9
2024/4/8 20:22,121.582,23.7905,3.4
2024/4/8 19:48,121.838,24.2903,3.5
2024/4/8 19:33,121.728,24.2618,3.1
2024/4/8 19:15,120.635,23.3293,3.7
2024/4/8 18:20,121.625,24.0908,3.3
2024/4/8 18:18,121.599,23.812,3.6
2024/4/8 17:35,121.563,24.0137,3.3
2024/4/8 17:24,121.85,24.3008,3.3
2024/4/8 17:19,121.669,24.2262,4.3
2024/4/8 16:52,121.602,23.9368,3.5
2024/4/8 16:50,121.744,24.2602,3.7
2024/4/8 16:45,121.644,23.9463,4.5
2024/4/8 16:44,121.64,23.9538,4.0
2024/4/8 16:14,121.701,24.1755,3.9
