順序,日期,水位,i=1,,i=2,,i=5,,i=10,,i=30,,i=60,,i=90,,i=120,,i=360,
1,2014/1/1,531.07,531.07,531.06,531.07,531.06,531.07,531.04,531.07,531.03,531.07,530.98,531.07,530.98,531.07,530.98,531.07,530.98,531.07,530.94
2,2014/1/2,531.06,531.06,531.06,531.06,531.05,531.06,531.04,531.06,531.02,531.06,530.98,531.06,530.98,531.06,530.96,531.06,530.98,531.06,531.01
3,2014/1/3,531.06,531.06,531.05,531.06,531.04,531.06,531.03,531.06,531.01,531.06,530.98,531.06,530.98,531.06,530.96,531.06,530.99,531.06,530.98
4,2014/1/4,531.05,531.05,531.04,531.05,531.04,531.05,531.03,531.05,531.03,531.05,530.97,531.05,530.97,531.05,530.96,531.05,531.06,531.05,530.96
5,2014/1/5,531.04,531.04,531.04,531.04,531.04,531.04,531.03,531.04,531.03,531.04,530.96,531.04,530.97,531.04,530.96,531.04,531.12,531.04,530.95
6,2014/1/6,531.04,531.04,531.04,531.04,531.03,531.04,531.03,531.04,531.02,531.04,530.99,531.04,530.98,531.04,530.95,531.04,531.16,531.04,530.94
7,2014/1/7,531.04,531.04,531.03,531.04,531.03,531.04,531.02,531.04,531.01,531.04,530.98,531.04,530.98,531.04,530.96,531.04,531.12,,
8,2014/1/8,531.03,531.03,531.03,531.03,531.03,531.03,531.01,531.03,531.01,531.03,530.97,531.03,530.98,531.03,530.97,531.03,531.09,,
9,2014/1/9,531.03,531.03,531.03,531.03,531.03,531.03,531.03,531.03,531,531.03,530.97,531.03,530.98,531.03,530.96,531.03,531.07,,
10,2014/1/10,531.03,531.03,531.03,531.03,531.02,531.03,531.03,531.03,531.01,531.03,531,531.03,530.98,531.03,530.96,531.03,531.07,,
11,2014/1/11,531.03,531.03,531.02,531.03,531.01,531.03,531.02,531.03,531.01,531.03,531.04,531.03,530.97,531.03,530.96,531.03,531.09,,
12,2014/1/12,531.02,531.02,531.01,531.02,531.03,531.02,531.01,531.02,531,531.02,531.02,531.02,531.06,531.02,530.95,531.02,531.06,,
13,2014/1/13,531.01,531.01,531.03,531.01,531.03,531.01,531.01,531.01,530.99,531.01,531.01,531.01,531.03,531.01,530.95,531.01,531.05,,
14,2014/1/14,531.03,531.03,531.03,531.03,531.02,531.03,531,531.03,530.99,531.03,531.01,531.03,531.01,531.03,530.95,531.03,531.04,,
15,2014/1/15,531.03,531.03,531.02,531.03,531.01,531.03,531.01,531.03,530.99,531.03,531.03,531.03,531,531.03,530.94,531.03,531.04,,
16,2014/1/16,531.02,531.02,531.01,531.02,531.01,531.02,531.01,531.02,530.99,531.02,531.02,531.02,530.99,531.02,530.95,531.02,531.04,,
17,2014/1/17,531.01,531.01,531.01,531.01,531,531.01,531,531.01,530.99,531.01,531.02,531.01,530.99,531.01,530.95,531.01,531.03,,
18,2014/1/18,531.01,531.01,531,531.01,531.01,531.01,530.99,531.01,530.98,531.01,531.01,531.01,530.99,531.01,530.94,531.01,531.03,,
19,2014/1/19,531,531,531.01,531,531.01,531,530.99,531,530.98,531,531,531,530.98,531,530.94,531,531.05,,
20,2014/1/20,531.01,531.01,531.01,531.01,531,531.01,530.99,531.01,530.98,531.01,531.01,531.01,530.98,531.01,530.94,531.01,531.06,,
21,2014/1/21,531.01,531.01,531,531.01,530.99,531.01,530.99,531.01,530.98,531.01,531.03,531.01,530.98,531.01,530.94,531.01,531.06,,
22,2014/1/22,531,531,530.99,531,530.99,531,530.99,531,530.98,531,531.01,531,530.97,531,530.94,531,531.11,,
23,2014/1/23,530.99,530.99,530.99,530.99,530.99,530.99,530.98,530.99,530.98,530.99,531.01,530.99,530.98,530.99,530.94,530.99,531.07,,
24,2014/1/24,530.99,530.99,530.99,530.99,530.99,530.99,530.98,530.99,530.97,530.99,531,530.99,530.97,530.99,530.95,530.99,531.06,,
25,2014/1/25,530.99,530.99,530.99,530.99,530.99,530.99,530.98,530.99,530.96,530.99,530.99,530.99,530.97,530.99,530.94,530.99,531.08,,
